,num_features,task,trial,w0,w1,w2,w3,xf0,xf1,xf2,xf3,xj0,xj1,xj2,xj3,yf,yj,slow,J_pressed,decision_time,participant_id
0,2,1,1,-0.4423050284385681,-1.6143651008605957,0.0,0.0,0.1515385508537292,-0.3259013295173645,0.0,0.0,0.8505988121032715,-1.3384442329406738,0.0,0.0,0.4590974748134613,1.7845134735107422,1,1,2555,0
1,2,1,2,-0.4423050284385681,-1.6143651008605957,0.0,0.0,-1.5007226467132568,0.5592362284660339,0.0,0.0,0.9470256567001344,0.7579023838043213,0.0,0.0,-0.2390342801809311,-1.642405390739441,1,1,1203,0
2,2,1,3,-0.4423050284385681,-1.6143651008605957,0.0,0.0,0.3986906707286834,0.523984968662262,0.0,0.0,1.608153223991394,-0.9958965182304382,0.0,0.0,-1.0222458839416504,0.8964463472366333,1,1,813,0
3,2,1,4,-0.4423050284385681,-1.6143651008605957,0.0,0.0,0.7156947255134583,-0.9257891178131104,0.0,0.0,-0.5521231293678284,-2.3574039936065674,0.0,0.0,1.178006291389465,4.049917697906494,1,1,917,0
4,2,1,5,-0.4423050284385681,-1.6143651008605957,0.0,0.0,2.2942094802856445,1.4549990892410278,0.0,0.0,1.0683468580245972,1.3873255252838137,0.0,0.0,-3.363640069961548,-2.7121851444244385,1,1,1278,0
5,2,1,6,-0.4423050284385681,-1.6143651008605957,0.0,0.0,0.4134880602359772,-2.409115791320801,0.0,0.0,0.989489495754242,-1.7790369987487793,0.0,0.0,3.7063045501708975,2.434359073638916,1,0,1819,0
6,2,1,7,-0.4423050284385681,-1.6143651008605957,0.0,0.0,-1.0373986959457395,1.2216928005218506,0.0,0.0,1.227533936500549,0.7370488047599792,0.0,0.0,-1.513411521911621,-1.7328102588653564,1,1,872,0
7,2,1,8,-0.4423050284385681,-1.6143651008605957,0.0,0.0,-0.649642288684845,-0.3766881823539734,0.0,0.0,3.076695680618286,-0.078092336654663,0.0,0.0,0.8954523205757141,-1.2347683906555176,1,0,1340,0
8,2,1,9,-0.4423050284385681,-1.6143651008605957,0.0,0.0,-3.0826120376586914,-0.2056761234998703,0.0,0.0,-1.0408833026885986,1.9451960325241089,0.0,0.0,1.6954911947250366,-2.679868698120117,1,0,1195,0
9,2,1,10,-0.4423050284385681,-1.6143651008605957,0.0,0.0,-0.7348945140838623,-0.0787999257445335,0.0,0.0,-1.4121476411819458,0.832080602645874,0.0,0.0,0.4522594213485718,-0.7186818718910217,1,0,873,0
10,2,2,1,-0.3649609684944153,0.5553719997406006,0.0,0.0,-2.130459785461426,-1.3966147899627686,0.0,0.0,0.4179616570472717,1.1479666233062744,0.0,0.0,0.0018939148867502,0.4850088357925415,1,0,3024,0
11,2,2,2,-0.3649609684944153,0.5553719997406006,0.0,0.0,-0.1995870769023895,-0.1164897233247757,0.0,0.0,-1.188164234161377,-1.9599595069885252,0.0,0.0,0.0081463642418384,-0.6548730731010437,1,0,2435,0
12,2,2,3,-0.3649609684944153,0.5553719997406006,0.0,0.0,1.6394702196121216,0.2486949414014816,0.0,0.0,-1.539107322692871,0.8057042360305786,0.0,0.0,-0.460224449634552,1.009179711341858,1,0,2366,0
13,2,2,4,-0.3649609684944153,0.5553719997406006,0.0,0.0,0.5562567710876465,-1.0343002080917358,0.0,0.0,0.6465920805931091,-1.5236213207244873,0.0,0.0,-0.7774333953857422,-1.0821574926376345,1,0,1521,0
